iter	RMSE
0	21402.76179
1	19615.39846
2	17920.01259
3	16535.27094
4	15365.2636
5	14184.78244
6	13166.63626
7	12230.1859
8	11385.98818
9	10600.03464
10	9905.706466
11	9327.648223
12	8808.088792
13	8347.238551
14	7929.335311
15	7562.177292
16	7246.4793
17	6956.537242
18	6692.714008
19	6476.282442
20	6241.31725
21	6049.710473
22	5928.801944
23	5781.090784
24	5651.626025
25	5542.844227
26	5423.468091
27	5310.681498
28	5202.340639
29	5094.600421
30	5003.07667
31	4916.928067
32	4845.212992
33	4807.429569
34	4750.193374
35	4665.090448
36	4607.28624
37	4549.92684
38	4499.33568
39	4452.145006
40	4403.637865
41	4356.303627
42	4316.402398
43	4281.183498
44	4231.654935
45	4188.988368
46	4159.680703
47	4110.494778
48	4084.652186
49	4053.750832
50	4028.386902
51	3994.068747
52	3980.590336
53	3966.738265
54	3939.071006
55	3908.14283
56	3890.675448
57	3865.275279
58	3838.306291
59	3815.299094
60	3810.234324
61	3803.10766
62	3801.999471
63	3781.800508
64	3769.506176
65	3754.706777
66	3747.805623
67	3733.515768
68	3714.453641
69	3691.956297
70	3685.981624
71	3666.993147
72	3656.023107
73	3630.870969
74	3619.651286
75	3608.551896
76	3595.315409
77	3586.287185
78	3576.901957
79	3566.234242
80	3562.922022
81	3551.339788
82	3537.347071
83	3526.244638
84	3520.592701
85	3493.525478
86	3488.429174
87	3480.860093
88	3468.29467
89	3462.140879
90	3445.133729
91	3432.143748
92	3424.558952
93	3419.836028
94	3414.561188
95	3402.896426
96	3390.417233
97	3384.327132
98	3378.726565
99	3373.760497
