iter	Passed	Remaining
0	15	1500
1	42	2092
2	46	1497
3	72	1750
4	100	1904
5	116	1818
6	142	1899
7	170	1962
8	171	1736
9	175	1581
10	177	1438
11	204	1497
12	206	1379
13	232	1427
14	247	1403
15	275	1445
16	300	1469
17	310	1415
18	337	1438
19	364	1458
20	390	1468
21	416	1477
22	417	1398
23	444	1407
24	470	1410
25	484	1379
26	511	1382
27	537	1383
28	564	1382
29	596	1390
30	623	1386
31	650	1381
32	676	1374
33	679	1318
34	693	1288
35	721	1282
36	748	1274
37	776	1266
38	802	1255
39	830	1245
40	858	1234
41	886	1223
42	913	1211
43	941	1197
44	969	1184
45	997	1171
46	1026	1157
47	1053	1141
48	1081	1125
49	1110	1110
50	1138	1093
51	1166	1076
52	1193	1058
53	1199	1021
54	1227	1004
55	1255	986
56	1283	968
57	1310	949
58	1339	930
59	1366	911
60	1369	875
61	1375	843
62	1376	808
63	1406	791
64	1434	772
65	1460	752
66	1487	732
67	1515	713
68	1543	693
69	1572	673
70	1600	653
71	1627	632
72	1655	612
73	1682	591
74	1709	569
75	1736	548
76	1764	526
77	1790	505
78	1816	482
79	1844	461
80	1870	438
81	1898	416
82	1925	394
83	1952	371
84	1978	349
85	2005	326
86	2032	303
87	2060	280
88	2086	257
89	2113	234
90	2140	211
91	2167	188
92	2195	165
93	2224	141
94	2251	118
95	2278	94
96	2305	71
97	2333	47
98	2360	23
99	2388	0
